DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_mean,gaussian_smoothed
1992-01-29 09:52:00,378,378,USGS,12094000,388,1/29/1992 9:52,PST,Yes,KEF/MKB,USGS,9.06,1340.0,Good,0.02,1.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1340.0,66.0,207.0,6.47,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.7614880000000004,37.94457443328,34.71136274666669,3.2332116866133163,3.2332116866133163,3.2332116866133163,6.00112525575803
1993-01-26 09:50:00,386,386,USGS,12094000,396,1/26/1993 9:50,PST,Yes,KEF/BSP,USGS,10.06,2110.0,Fair,0.0,0.8,Clear,BYPS,1.0,Imported Channel 1,CRAN,unspe,unkno,2110.0,73.0,259.0,7.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.066288,59.74854630912001,58.938450693333344,0.8100956157866648,2.0216536511999905,2.0216536511999905,6.072413831651637
1993-06-16 10:00:00,388,388,USGS,12094000,398,6/16/1993 10:00,PDT,Yes,KEF,USGS,8.82,1030.0,Fair,-0.02,2.0,Clear,BYPS,1.0,Imported Channel 1,CRAN,unspe,unkno,1030.0,64.0,170.0,5.0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.688336,29.166351989760013,29.673861413333324,-0.5075094235733104,0.8100956157866648,1.1785992929422235,6.173031680815743
1995-11-28 11:55:00,403,403,USGS,12094000,413,11/28/1995 11:55,PST,Yes,BP,USGS,13.83,8860.0,Poor,1.0,1.3,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,8860.0,86.0,604.0,13.9,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.215383999999999,250.88726080512004,229.02518079999987,21.862080005120163,0.8100956157866648,7.388222065777839,6.2341696605094965
1999-05-25 14:38:00,424,424,USGS,12094000,434,5/25/1999 14:38,PDT,Yes,JCT/FWS,USGS,8.89,1310.0,Fair,-0.02,0.9,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1310.0,77.0,204.0,6.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.7096720000000003,37.09506903552001,31.120904493333338,5.974164542186674,5.974164542186674,5.974164542186674,6.180672919171612
1999-12-16 14:35:00,428,428,USGS,12094000,438,12/16/1999 14:35,PST,Yes,JCT/GBJ,USGS,10.15,2580.0,Fair,-0.2,1.5,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2580.0,79.0,363.0,7.11,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.09372,73.05746420736001,61.35278673333331,11.704677474026703,8.839421008106688,8.839421008106688,5.956716653697928
2000-06-13 11:09:00,432,432,USGS,12094000,442,6/13/2000 11:09,PDT,Yes,JCT,USGS,9.04,1380.0,Fair,-0.03,0.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1380.0,72.0,240.0,5.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.7553919999999996,39.07724829696001,34.27630138666663,4.800946910293376,5.974164542186674,7.493262975502251,5.544011323301701
2001-11-14 13:45:00,441,441,USGS,12094000,451,11/14/2001 13:45,PST,Yes,JCT/DGC,USGS,10.28,2760.0,Fair,0.21,0.5,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2760.0,85.0,338.0,8.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.1333439999999997,78.15449659392002,64.94513903999996,13.209357553920057,8.839421008106688,8.922286620106703,4.971595634906502
2002-06-06 11:04:00,445,445,USGS,12094000,455,6/6/2002 11:04,PDT,Yes,JCT/AMV,USGS,8.73,1150.0,Fair,-0.03,0.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1150.0,74.0,191.0,5.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.6609040000000004,32.5643735808,27.882823240000015,4.681550340799987,8.25281219216004,8.599133069760033,4.306970281779495
2004-08-24 11:54:00,457,457,USGS,12094000,467,8/24/2004 11:54,PDT,Yes,JCT,USGS,8.96,981.0,Fair,0.21,0.8,Clear,OTHR,1.0,Imported Channel 1,CRAN,unspe,unkno,981.0,67.0,179.0,4.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.7310080000000005,27.778826506752004,32.567947573333356,-4.789121066581352,4.681550340799987,4.367262276046233,3.6427002315369474
