DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_mean,gaussian_smoothed
1966-12-13 00:00:00,2,2,USGS,12213100,3,1966-12-13,,Yes,T H,USGS,14.4,16200.0,Fair,0.49,2.5,Clear,MEAS,1.0,Imported Channel 1,UNSP,other,,16200.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.38912,458.73291479040006,511.89108,-53.15816520959993,-53.15816520959993,-53.15816520959993,-41.61087432819667
1966-12-14 00:00:00,3,3,USGS,12213100,4,1966-12-14,,Yes,RQ,USGS,16.46,21700.0,Good,-0.14,2.0,Clear,MEAS,1.0,Imported Channel 1,UNSP,other,,21700.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5.0170080000000015,614.4755710464001,643.4224605714289,-28.946889525028837,-41.05252736731438,-41.05252736731438,-41.62875498713615
1967-06-20 00:00:00,12,12,USGS,12213100,10,1967-06-20,,Yes,JR,USGS,10.74,9530.0,Good,-0.12,1.6,,MEAS,1.0,Imported Channel 1,UNSP,other,,9530.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.273552,269.85954802176,309.41924697142855,-39.55969894966853,-39.55969894966853,-40.554917894765765,-41.60396304650649
1967-09-16 00:00:00,15,15,USGS,12213100,20,1967-09-16,,Yes,SR,USGS,9.83,8110.0,Unspecified,,,,MEAS,1.0,Imported Channel 1,UNSP,other,,8110.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.996184,229.64962586112003,265.6317974285714,-35.98217156745139,-37.77093525855996,-39.41173131293717,-41.4178078993195
1967-10-30 00:00:00,17,17,USGS,12213100,13,1967-10-30,,Yes,SE,USGS,11.57,10900.0,Good,0.56,2.2,,MEAS,1.0,Imported Channel 1,UNSP,other,,10900.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.526536,308.65362785280007,351.6505562285714,-42.99692837577135,-39.55969894966853,-40.128770725504005,-40.902051405292426
1967-12-26 00:00:00,21,21,USGS,12213100,15,1967-12-26,,Yes,RQ,USGS,15.59,19100.0,Good,-0.27,1.4,,MEAS,1.0,Imported Channel 1,UNSP,other,,19100.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.751832,540.8517699072,586.3769692,-45.525199292799925,-41.27831366271994,-41.028175486719995,-39.863581168407
1969-09-23 00:00:00,28,28,USGS,12213100,29,1969-09-23,,Yes,SR,USGS,11.66,10800.0,Good,1.6,2.2,,MEAS,1.0,Imported Channel 1,UNSP,other,,10800.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.553968,305.8219431936,356.4123595428571,-50.590416349257055,-42.99692837577135,-42.394209895653866,-38.1156559092784
1971-02-20 00:00:00,40,40,USGS,12213100,41,1971-02-20,,Yes,JW,USGS,13.2,13900.0,Good,-0.15,1.2,,MEAS,1.0,Imported Channel 1,UNSP,other,,13900.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.02336,393.6041676288,441.0185954285715,-47.41442779977149,-49.00242207451427,-49.002422074514286,-35.52935856818598
1971-11-04 00:00:00,47,47,USGS,12213100,47,1971-11-04,,Yes,do,USGS,15.3,18000.0,Good,-0.37,1.8,,MEAS,1.0,Imported Channel 1,UNSP,other,,18000.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.6634400000000005,509.70323865600005,567.8405354285716,-58.13729677257152,-50.590416349257055,-52.04738030720003,-32.0714957614723
1972-02-17 00:00:00,49,49,USGS,12213100,49,1972-02-17,,Yes,do,USGS,10.97,9610.0,Unspecified,-0.2,1.5,,MEAS,1.0,Imported Channel 1,UNSP,other,,9610.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.3436559999999997,272.12489574912,320.9178052,-48.79290945087996,-49.69166290006851,-51.23376259312001,-27.84119684478305
1973-01-17 00:00:00,53,53,USGS,12213100,60,1973-01-17,,Yes,do,USGS,15.72,20700.0,Good,-0.35,2.2,,MEAS,1.0,Imported Channel 1,UNSP,other,,20700.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.791456,586.1587244544,594.7358294857142,-8.577105031314204,-48.103668625325724,-40.7304347636343,-23.06130976383472
1973-11-28 00:00:00,59,59,USGS,12213100,59,1973-11-28,,Yes,do,USGS,11.08,11000.0,Fair,1.09,2.3,,MEAS,1.0,Imported Channel 1,UNSP,other,,11000.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.3771839999999997,311.48531251200006,326.41711565714286,-14.931803145142794,-47.41442779977149,-35.570708439936,-18.05892894350612
