DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_mean,gaussian_smoothed
1936-12-18 00:00:00,43,,,,,12/18/1936,,,,,13.47,20400,,,,,,,,,,,,,,,,,,,,,,,4.1056560000000015,577.6636704768001,562.9179984000006,14.745672076799565,,14.745672076799565,37.88618155224981
1939-12-20 00:00:00,70,,,,,12/20/1939,,,,,11.6,14900,,,,,,,,,,,,,,,,,,,,,,,3.53568,421.9210142208001,341.0995680000001,80.8214462208,,47.78355914879978,36.68780542329671
1940-10-21 00:00:00,79,,,,,10/21/1940,,,,,11.32,12800,,,,,,,,,,,,,,,,,,,,,,,3.450336,362.4556363776001,311.959072,50.49656437760012,49.41441903451437,48.687894225066565,34.26809978119281
1944-01-18 00:00:00,109,,,,,1/18/1944,,,,,14.5,25500,,,,,,,,,,,,,,,,,,,,,,,4.4196,722.0795880960001,704.7518114285716,17.327776667428452,50.49656437760012,49.54859575527619,30.604864988605854
1945-12-07 00:00:00,123,,,,,12/7/1945,,,,,10.93,11400,,,,,,,,,,,,,,,,,,,,,,,3.331464,322.81205114880004,273.39763211428567,49.41441903451437,49.41441903451437,33.37109785097141,25.69624957622895
1948-12-03 00:00:00,148,,,,,12/3/1948,,,,,10.84,11200,,,,,,,,,,,,,,,,,,,,,,,3.3040320000000003,317.14868183040005,264.7409092571429,52.40777257325715,17.49302951680005,39.71665609173332,19.59547003465407
1975-02-13 00:00:00,165,7.0,USGS,12040500.0,166.0,2/13/1975,,Yes,DJK/GTH,USGS,12.3,15400,Good,-0.22,1.5,,NONE,1.0,Imported Channel 1,UNSP,other,,15400.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.74904,436.07943751680006,418.586408,17.49302951680005,17.49302951680005,17.49302951680005,12.424830859275124
1976-02-11 00:00:00,171,13.0,USGS,12040500.0,172.0,2/11/1976,,Yes,DO,USGS,11.86,12700,Good,1.08,0.9,,NONE,1.0,Imported Channel 1,UNSP,other,,12700.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.614928,359.62395171840006,369.1056806857142,-9.481728967314154,0.6165193654857717,4.005650274742948,4.393196406308915
1981-10-28 00:00:00,203,45.0,USGS,12040500.0,204.0,10/28/1981,,Yes,LDH,USGS,12.14,14000,Good,-0.2,1.4,,NONE,1.0,Imported Channel 1,UNSP,other,,14000.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.700272,396.43585228800004,400.2983366857143,-3.8624843977142405,-3.8624843977142405,-3.8624843977142405,-4.232095729397661
1982-02-18 00:00:00,205,47.0,USGS,12040500.0,206.0,2/18/1982,,Yes,BSP,USGS,12.0,13600,Good,0.18,1.3,,NONE,1.0,Imported Channel 1,UNSP,other,,13600.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.6576,385.1091136512,384.49259428571423,0.6165193654857717,-5.214367532800111,-1.6229825161142344,-13.141943089500549
