DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_mean,gaussian_smoothed
1989-12-05 08:00:00,98,15.0,USGS,12181000.0,103,12/5/1989 8:00,PST,Yes,BSP,USGS,6.05,16100,Good,-0.13,2.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,16100.0,345.0,2340.0,6.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.84404,455.9012301312,414.5156119999999,41.38561813120009,41.38561813120009,41.38561813120009,-1.7880861064939846
1990-11-15 10:39:00,100,17.0,USGS,12181000.0,105,11/15/1990 10:39,PST,Yes,JCT/KBO,USGS,9.14,31600,Good,-0.02,1.6,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,31600.0,392.0,3620.0,8.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.7858720000000003,894.8123523072003,907.3939184000002,-12.581566092799903,14.402026019200093,14.402026019200093,-2.9436635645301683
1990-11-30 10:04:00,101,18.0,USGS,12181000.0,106,11/30/1990 10:04,PST,Yes,JCT/DTS,USGS,6.71,17800,Good,0.02,1.5,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,17800.0,341.0,2500.0,7.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.045208,504.0398693376001,505.9524456000001,-1.9125762623999663,-1.9125762623999663,8.96382525866674,-5.084278582596051
1991-07-23 15:10:00,104,21.0,USGS,12181000.0,109,7/23/1991 15:10,PDT,Yes,JCT/RDF,USGS,6.21,15500,Good,0.06,2.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,15500.0,338.0,2260.0,6.85,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.8928080000000003,438.91112217600005,435.9530824000002,2.9580397759998505,0.5227317567999421,7.462378888000018,-7.911315869649823
1995-01-31 13:09:00,123,40.0,USGS,12181000.0,128,1/31/1995 13:09,PST,Yes,JCT,USGS,6.16,15000,Good,0.34,2.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,15000.0,343.0,2280.0,6.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.877568,424.75269888000014,429.213416,-4.460717119999856,-4.460717119999856,-4.460717119999856,-11.05631157937154
1995-12-01 14:39:00,128,45.0,USGS,12181000.0,133,12/1/1995 14:39,PST,Yes,SAG/JG,USGS,9.2,30900,Fair,0.01,1.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,30900.0,444.0,3530.0,8.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.80416,874.9905596928003,918.5572559999999,-43.56669630719966,-24.01370671359976,-24.01370671359976,-14.158027376700051
1997-06-17 10:35:00,137,54.0,USGS,12181000.0,142,6/17/1997 10:35,PDT,Yes,JED,USGS,8.02,23800,Fair,0.02,2.1,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,23800.0,370.0,3170.0,7.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.444496,673.9409488896001,710.0299087999999,-36.08895991039981,-36.08895991039981,-28.038791112533108,-16.92474766707131
1997-10-06 13:25:00,138,55.0,USGS,12181000.0,143,10/6/1997 13:25,PDT,Yes,SGW,USGS,6.1,14100,Good,-0.03,1.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,14100.0,327.0,2200.0,6.41,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.8592799999999998,399.2675369472001,421.1495839999999,-21.882047052799805,-28.985503481599807,-26.499605097599783,-19.1718026226347
1997-11-06 11:43:00,139,56.0,USGS,12181000.0,144,11/6/1997 11:43,PST,Yes,MKB/JLS,USGS,6.15,13800,Good,0.08,1.1,Clear,MEAS,1.0,Imported Channel 1,BOAT,unspe,unkno,13800.0,363.0,2380.0,5.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.87452,390.77248296960005,427.86874,-37.096257030399954,-36.08895991039981,-28.618935484159817,-20.831025967045004
2003-01-27 10:18:00,162,79.0,USGS,12181000.0,167,1/27/2003 10:18,PST,Yes,CAC/DAM,USGS,5.64,13200,Poor,,,Clear,MEAS,1.0,Imported Channel 1,UNSP,QADCP,VADCP,13200.0,0.0,0.0,0.0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.7190720000000002,373.78237501440003,361.6696400000001,12.11273501439996,12.11273501439996,12.11273501439996,-21.937784918627816
